pop,site,site_uni,trial,group,goal_z_lat,tot_z,body_length,learn_prop,goal_z_lat_LN,body_length_LN,learn_prop_LN,tot_z_LN,body_length_sc,tot_z_sc
Upper Aripo,2,Upper Aripo 2,2,51,142.632,86,22,15.658359863870897,4.96026788673247,3.091042453358316,2.7510049509697962,4.454347296253507,0.2945923156200734,-0.12605723223725648
Upper Aripo,2,Upper Aripo 2,1,52,60.274,115,22,0.2962305471679331,4.098900833303313,3.091042453358316,-1.2166172522569008,4.74493212836325,0.2945923156200734,0.9607605267812533
Upper Aripo,2,Upper Aripo 2,2,52,17.855,115,22,0.2962305471679331,2.8822835810464116,3.091042453358316,-1.2166172522569008,4.74493212836325,0.2945923156200734,0.9607605267812533
Upper Aripo,2,Upper Aripo 2,1,53,15.457,118,22,2.0543443100213494,2.7380619751701816,3.091042453358316,0.7199567264851382,4.770684624465665,0.2945923156200734,1.0731899501279958
Upper Aripo,2,Upper Aripo 2,2,53,31.754,118,22,2.0543443100213494,3.4580187016553197,3.091042453358316,0.7199567264851382,4.770684624465665,0.2945923156200734,1.0731899501279958
Upper Aripo,2,Upper Aripo 2,1,54,34.556,92,20,0.5383435582822086,3.542581196496638,2.995732273553991,-0.61925833846078715,4.5217885770490405,-0.44609693508182424,0.0988016144562283
Upper Aripo,2,Upper Aripo 2,2,54,18.603,92,20,0.5383435582822086,2.9233228580358506,2.995732273553991,-0.61925833846078715,4.5217885770490405,-0.44609693508182424,0.0988016144562283
Upper Aripo,2,Upper Aripo 2,1,55,43.09,120,20,0.38185193780459503,3.763290951627747,2.995732273553991,-0.9627223428810081,4.787491742782046,-0.44609693508182424,1.148142899025824
Upper Aripo,2,Upper Aripo 2,2,55,16.454,120,20,0.38185193780459503,2.8005686087467385,2.995732273553991,-0.9627223428810081,4.787491742782046,-0.44609693508182424,1.148142899025824
Upper Aripo,2,Upper Aripo 2,1,56,16.675,138,20,3.1147226386806595,2.8139105918016876,2.995732273553991,1.136140107723116,4.927253685157205,-0.44609693508182424,1.8227194391062782
Upper Aripo,2,Upper Aripo 2,2,56,51.938,138,20,3.1147226386806595,3.9500506995248035,2.995732273553991,1.136140107723116,4.927253685157205,-0.44609693508182424,1.8227194391062782
Upper Aripo,2,Upper Aripo 2,1,57,10.248,76,22,NA,2.327082564594433,3.091042453358316,NA,4.330733340286331,0.2945923156200734,-0.5008219767263977
Upper Aripo,2,Upper Aripo 2,2,57,NA,76,22,NA,NA,3.091042453358316,NA,4.330733340286331,0.2945923156200734,-0.5008219767263977
Upper Aripo,2,Upper Aripo 2,1,58,79.771,122,18,0.6547868272931265,4.379160029885581,2.8903717578961645,-0.4234455508330098,4.804021044733257,-1.1867861857837219,1.2230958479236522
Upper Aripo,2,Upper Aripo 2,2,58,52.233,122,18,0.6547868272931265,3.955714479052571,2.8903717578961645,-0.4234455508330098,4.804021044733257,-1.1867861857837219,1.2230958479236522
Upper Aripo,2,Upper Aripo 2,1,59,34.708,112,20,0.29076869885905265,3.5469702079312433,2.995732273553991,-1.235227177152432,4.718498871295094,-0.44609693508182424,0.8483311034345109
Upper Aripo,2,Upper Aripo 2,2,59,10.092,112,20,0.29076869885905265,2.3117430307788114,2.995732273553991,-1.235227177152432,4.718498871295094,-0.44609693508182424,0.8483311034345109
